date,plant,height,distance,taxon,sub-taxon,observer,notes
8-Jul-19,2-2,55,21,H. annua,purple,David & Caleb,
8-Jul-19,2-3,79,49,H. annua,purple,David & Caleb,
8-Jul-19,2-4,58,49,H. annua,purple,David & Caleb,
8-Jul-19,2-5,40,28,H. annua,purple,David & Caleb,
8-Jul-19,3-1,24,48,H. annua,purple,David & Caleb,
8-Jul-19,3-2,48,51,H. annua,purple,David & Caleb,
8-Jul-19,3-3,73,43,H. annua,purple,David & Caleb,
8-Jul-19,3-4,97,43,H. annua,green,David & Caleb,
8-Jul-19,4-1,37,67,H. annua,green,David & Caleb,
8-Jul-19,4-2,55,44,H. annua,purple,David & Caleb,
8-Jul-19,5-1,59,46,H. annua,purple,David & Caleb,
8-Jul-19,5-2,33,43,H. annua,purple,David & Caleb,
8-Jul-19,5-3,67,43,H. annua,purple,David & Caleb,
8-Jul-19,5-4,25,73,H. annua,green,David & Caleb,
